No,Token Category,Token Name,Keywords,Usage,CSS Variable,Tailwind,Value Light,Value Dark
27,Shadow,Extra Large,"shadow, elevation, hero, featured","0 20px 25px - Featured elements","--shadow-xl","shadow-xl","0 20px 25px rgba(0,0,0,0.15)","0 20px 25px rgba(0,0,0,0.5)"
28,Typography,Heading Font,"heading, h1, h2, h3, title, display","Font family for headings","--font-heading","font-heading","'Inter', sans-serif","'Inter', sans-serif"
29,Typography,Body Font,"body, text, content, paragraph","Font family for body text","--font-body","font-sans","'Inter', sans-serif","'Inter', sans-serif"
30,Typography,Mono Font,"mono, code, terminal, pre, technical","Font family for code and technical content","--font-mono","font-mono","'JetBrains Mono', monospace","'JetBrains Mono', monospace"
31,Typography,Heading Small,"h6, small, caption, label","14px - Small headings, captions","--text-sm","text-sm","14px","14px"
32,Typography,Heading Medium,"h5, subtitle, medium","16px - Medium headings, subtitles","--text-base","text-base","16px","16px"
33,Typography,Heading Large,"h4, section, large","18px - Section headings","--text-lg","text-lg","18px","18px"
34,Typography,Heading XL,"h3, subsection, xl","20px - Subsection headings","--text-xl","text-xl","20px","20px"
35,Typography,Heading 2XL,"h2, section title, 2xl","24px - Section titles","--text-2xl","text-2xl","24px","24px"
36,Typography,Heading 3XL,"h1, page title, display, hero","30px - Page titles, hero headings","--text-3xl","text-3xl","30px","30px"
37,Typography,Heading 4XL,"display, hero, massive","36px - Hero sections, massive display","--text-4xl","text-4xl","36px","36px"
38,Typography,Font Weight Normal,"body, regular, normal, 400","Normal font weight for body text","--font-weight-normal","font-normal","400","400"
39,Typography,Font Weight Medium,"medium, 500","Medium font weight for emphasis","--font-weight-medium","font-medium","500","500"
40,Typography,Font Weight SemiBold,"semibold, 600, strong","Semi-bold for headings and strong text","--font-weight-semibold","font-semibold","600","600"
41,Typography,Font Weight Bold,"bold, 700, heading","Bold for headings and important text","--font-weight-bold","font-bold","700","700"
42,Transition,Duration Fast,"transition, fast, hover, quick, responsive","100ms - Fast transitions for hover states","--duration-fast","duration-100","100ms","100ms"
43,Transition,Duration Normal,"transition, normal, standard, default","200ms - Standard transitions","--duration-normal","duration-200","200ms","200ms"
44,Transition,Duration Slow,"transition, slow, smooth, animated","300ms - Smooth transitions for animations","--duration-slow","duration-300","300ms","300ms"
45,Transition,Duration Very Slow,"transition, very-slow, page, entrance","500ms - Page transitions, entrance animations","--duration-very-slow","duration-500","500ms","500ms"
46,Transition,Ease Default,"easing, default, standard","ease - Standard easing","--ease-default","ease","cubic-bezier(0.4, 0, 0.2, 1)","cubic-bezier(0.4, 0, 0.2, 1)"
47,Transition,Ease In,"easing, in, start","ease-in - Starting animations","--ease-in","ease-in","cubic-bezier(0.4, 0, 1, 1)","cubic-bezier(0.4, 0, 1, 1)"
48,Transition,Ease Out,"easing, out, end","ease-out - Ending animations","--ease-out","ease-out","cubic-bezier(0, 0, 0.2, 1)","cubic-bezier(0, 0, 0.2, 1)"
49,Transition,Ease In Out,"easing, in-out, smooth, bidirectional","ease-in-out - Bidirectional animations","--ease-in-out","ease-in-out","cubic-bezier(0.4, 0, 0.2, 1)","cubic-bezier(0.4, 0, 0.2, 1)"
50,Transition,Ease Bounce,"easing, bounce, playful, spring","cubic-bezier(0.34, 1.56, 0.64, 1) - Bouncy effects","--ease-bounce","ease-[cubic-bezier(0.34,1.56,0.64,1)]","cubic-bezier(0.34, 1.56, 0.64, 1)","cubic-bezier(0.34, 1.56, 0.64, 1)"
