No,Component,Category,Keywords,Variants,CSS/Code,Tailwind,Accessibility,Best For
11,Badge/Tag,Display,"badge, tag, label, status, chip, indicator, pill","Default, Success, Warning, Error, Info, Outline",".badge { display: inline-flex; padding: 4px 12px; border-radius: 9999px; font-size: 12px; font-weight: 600; }","inline-flex items-center px-3 py-1 rounded-full text-xs font-semibold","aria-label for status meaning, not color-only indicators","Status indicators, categories, counts"
12,Loading Spinner,Feedback,"spinner, loading, loader, progress, waiting, skeleton","Spinner, Dots, Pulse, Bar, Skeleton",".spinner { width: 24px; height: 24px; border: 3px solid var(--color-border); border-top-color: var(--color-primary); border-radius: 50%; animation: spin 0.8s linear infinite; }","w-6 h-6 border-3 border-gray-200 border-t-blue-500 rounded-full animate-spin","aria-busy=true, aria-label=Loading, role=status","Data loading, form submission, async operations"
13,Tooltip,Feedback,"tooltip, hint, help, info, hover, popup","Default, Arrow, Dark, Light, Rich",".tooltip { position: relative; } .tooltip-content { position: absolute; bottom: 100%; left: 50%; transform: translateX(-50%); padding: 8px 12px; background: #1F2937; color: white; border-radius: 8px; font-size: 14px; white-space: nowrap; }","relative group","role=tooltip, aria-describedby, not sole indicator","Help text, descriptions, hints"
14,Accordion/Collapse,Layout,"accordion, collapse, expand, toggle, reveal, details","Default, Bordered, Flush, Multiple",".accordion-item { border-bottom: 1px solid var(--color-border); } .accordion-trigger { width: 100%; padding: 16px; display: flex; justify-content: space-between; cursor: pointer; }","border-b border-gray-200","role=button, aria-expanded, aria-controls, keyboard Enter/Space","FAQs, settings, content organization"
15,Progress Bar,Feedback,"progress, bar, loading, indicator, completion, status","Default, Striped, Animated, Multi-step",".progress { width: 100%; height: 8px; background: var(--color-border); border-radius: 9999px; overflow: hidden; } .progress-fill { height: 100%; background: var(--color-primary); transition: width 300ms ease; }","w-full h-2 bg-gray-200 rounded-full overflow-hidden","role=progressbar, aria-valuenow, aria-valuemin, aria-valuemax, aria-label","File uploads, onboarding, multi-step forms"
16,Breadcrumb,Navigation,"breadcrumb, path, trail, navigation, hierarchy","Default, With Icons, Collapsed",".breadcrumb { display: flex; align-items: center; gap: 8px; } .breadcrumb-item { color: var(--color-text-secondary); } .breadcrumb-separator { color: var(--color-border); }","flex items-center gap-2 text-sm","nav aria-label=Breadcrumb, ol, li, aria-current=page","Websites with deep navigation, admin panels"
17,Alert/Callout,Feedback,"alert, callout, notice, banner, notification, warning","Info, Success, Warning, Error, Neutral",".alert { padding: 16px 20px; border-radius: 12px; display: flex; gap: 12px; align-items: start; }","p-5 rounded-xl flex gap-3 items-start","role=alert for errors, role=status for info, aria-live=polite","Important notices, warnings, system messages"
18,Switch/Toggle,Form Element,"switch, toggle, checkbox, on/off, boolean, enable","Default, Labeled, iOS-style, Material",".switch { width: 44px; height: 24px; border-radius: 12px; background: var(--color-border); cursor: pointer; transition: background 200ms; } .switch.active { background: var(--color-primary); } .switch-thumb { width: 20px; height: 20px; border-radius: 50%; background: white; transition: transform 200ms; }","relative w-11 h-6 rounded-full transition-colors duration-200","role=switch, aria-checked, aria-label, keyboard Space","Settings, preferences, feature toggles"
19,Pagination,Navigation,"pagination, page, navigate, numbers, next, previous","Default, Compact, Ellipsis, Icons",".pagination { display: flex; gap: 4px; } .page-btn { width: 36px; height: 36px; border-radius: 8px; display: flex; align-items: center; justify-content: center; cursor: pointer; }","flex gap-1","nav aria-label=Pagination, aria-current=page, keyboard navigation","Lists, tables, search results"
20,Skeleton Loader,Feedback,"skeleton, placeholder, loading, shimmer, pulse, content","Text, Avatar, Card, Image, Table",".skeleton { background: linear-gradient(90deg, var(--color-border) 25%, var(--color-border-light) 50%, var(--color-border) 75%); background-size: 200% 100%; animation: shimmer 1.5s infinite; border-radius: 8px; }","bg-gray-200 rounded-lg animate-pulse","aria-busy=true, aria-label=Loading content, role=status","Content loading states, progressive loading"
21,Tooltip,Feedback,"tooltip, hint, help, info, hover, popup","Default, Arrow, Dark, Light, Rich",".tooltip { position: relative; } .tooltip-content { position: absolute; bottom: 100%; left: 50%; transform: translateX(-50%); padding: 8px 12px; background: #1F2937; color: white; border-radius: 8px; font-size: 14px; white-space: nowrap; }","relative group","role=tooltip, aria-describedby, not sole indicator","Help text, descriptions, hints"
22,Drawer/Sidebar,Navigation,"drawer, sidebar, panel, slide, menu, nav, mobile","Left, Right, Full-height, Overlay, Persistent",".drawer { position: fixed; top: 0; left: 0; height: 100vh; width: 320px; background: white; z-index: 50; transform: translateX(-100%); transition: transform 300ms ease; } .drawer.open { transform: translateX(0); }","fixed inset-y-0 left-0 w-80 bg-white z-50 transform -translate-x-full transition-transform duration-300","role=dialog, aria-modal=true, focus trap, escape to close","Mobile navigation, settings panels, filters"
23,Carousel/Slider,Display,"carousel, slider, swiper, gallery, images, slides, navigation","Default, Autoplay, Thumbnail, Fullscreen",".carousel { position: relative; overflow: hidden; } .carousel-track { display: flex; transition: transform 300ms ease; } .carousel-slide { min-width: 100%; }","relative overflow-hidden [&>div]:flex [&>div]:transition-transform [&>div]:duration-300","aria-roledescription=carousel, aria-label, keyboard navigation","Image galleries, testimonials, product showcases"
24,Toast/Notification,Feedback,"toast, notification, snackbar, alert, message, feedback, banner","Success, Error, Warning, Info, Action",".toast { position: fixed; bottom: 24px; right: 24px; padding: 16px 24px; border-radius: 12px; box-shadow: var(--shadow-lg); animation: slideIn 300ms ease; }","fixed bottom-6 right-6 px-6 py-4 rounded-xl shadow-lg animate-slide-in","role=alert, aria-live=polite, auto-dismiss with timer","Success/error messages, notifications, confirmations"
25,Chip/Tag,Display,"chip, tag, label, category, filter, removable","Default, Outlined, With Icon, Removable, Selectable",".chip { display: inline-flex; align-items: center; gap: 4px; padding: 4px 12px; border-radius: 9999px; font-size: 14px; }","inline-flex items-center gap-1 px-3 py-1 rounded-full text-sm","aria-label, role=option if selectable, keyboard navigation","Categories, filters, tags, selections"
