No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
11,Merriweather + Open Sans,Serif-Sans,"Merriweather","Open Sans","Readable, trustworthy, classic, professional","News sites, blogs, documentation, legal, healthcare","https://fonts.google.com/share?selection.family=Merriweather:wght@400;700|Open+Sans:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Merriweather:wght@400;700&family=Open+Sans:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Merriweather', 'serif'], sans: ['Open Sans', 'sans-serif'] }","Highly readable serif + sans. Perfect for content-heavy sites."
12,Space Mono + Inter,Mono-Sans,"Space Mono","Inter","Tech, code, developer, monospace, futuristic","Developer tools, code editors, tech blogs, APIs","https://fonts.google.com/share?selection.family=Space+Mono:wght@400;700|Inter:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Space+Mono:wght@400;700&family=Inter:wght@400;500;600;700&display=swap');","fontFamily: { mono: ['Space Mono', 'monospace'], sans: ['Inter', 'sans-serif'] }","Monospace headings for tech feel. Great for developer tools."
13,JetBrains Mono + Inter,Mono-Sans,"JetBrains Mono","Inter","Code, technical, developer, monospace","Code editors, developer tools, technical documentation","https://fonts.google.com/share?selection.family=JetBrains+Mono:wght@400;500;600;700|Inter:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');","fontFamily: { mono: ['JetBrains Mono', 'monospace'], sans: ['Inter', 'sans-serif'] }","Premium monospace for code. Excellent for developer tools."
14,Caveat + Inter,Cursive-Sans,"Caveat","Inter","Handwritten, playful, creative, personal","Portfolios, personal sites, creative projects, artistic","https://fonts.google.com/share?selection.family=Caveat:wght@400;500;600;700|Inter:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Caveat:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Caveat', 'cursive'], sans: ['Inter', 'sans-serif'] }","Handwritten headings for creative personality. Use sparingly."
15,Fredoka + Nunito,Sans-Sans,"Fredoka","Nunito","Playful, friendly, rounded, fun","Children's apps, education, gaming, casual, entertainment","https://fonts.google.com/share?selection.family=Fredoka:wght@400;500;600;700|Nunito:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Nunito:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Fredoka', 'sans-serif'], sans: ['Nunito', 'sans-serif'] }","Rounded playful fonts. Perfect for children's and casual apps."
16,Rubik + Rubik,Sans-Sans,"Rubik","Rubik","Geometric, clean, modern, friendly","SaaS, mobile apps, dashboards, web apps","https://fonts.google.com/share?selection.family=Rubik:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Rubik:wght@400;500;600;700&display=swap');","fontFamily: { sans: ['Rubik', 'sans-serif'] }","Geometric rounded sans-serif. Great for mobile and web."
17,Work Sans + Work Sans,Sans-Sans,"Work Sans","Work Sans","Clean, professional, versatile, readable","Enterprise, SaaS, dashboards, web apps, documentation","https://fonts.google.com/share?selection.family=Work+Sans:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Work+Sans:wght@400;500;600;700&display=swap');","fontFamily: { sans: ['Work Sans', 'sans-serif'] }","Excellent workhorse font. Very readable and professional."
18,Bricolage Grotesque + Inter,Sans-Sans,"Bricolage Grotesque","Inter","Modern, bold, geometric, expressive","SaaS, startups, creative brands, landing pages","https://fonts.google.com/share?selection.family=Bricolage+Grotesque:wght@400;500;600;700|Inter:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Bricolage Grotesque', 'sans-serif'], sans: ['Inter', 'sans-serif'] }","Bold expressive headings. Great for modern startups."
19,Clash Display + Satoshi,Sans-Sans,"Clash Display","Satoshi","Bold, modern, geometric, premium","Premium brands, luxury, creative agencies, portfolios","Not on Google Fonts (use Fontshare)","@import url('https://api.fontshare.com/v2/css?f[]=clash-display@400;500;600;700&f[]=satoshi@400;500;600;700&display=swap');","fontFamily: { heading: ['Clash Display', 'sans-serif'], sans: ['Satoshi', 'sans-serif'] }","Premium font pairing from Fontshare. Bold and modern."
20,General Sans + General Sans,Sans-Sans,"General Sans","General Sans","Clean, versatile, modern, professional","SaaS, dashboards, web apps, mobile apps","Not on Google Fonts (use Fontshare)","@import url('https://api.fontshare.com/v2/css?f[]=general-sans@400;500;600;700&display=swap');","fontFamily: { sans: ['General Sans', 'sans-serif'] }","Clean and versatile from Fontshare. Great for modern apps."
