No,Component,Category,Keywords,Variants,CSS/Code,Tailwind,Accessibility,Best For
11,Badge/Tag,Display,"badge, tag, label, status, chip, indicator, pill","Default, Success, Warning, Error, Info, Outline",".badge { display: inline-flex; padding: 4px 12px; border-radius: 9999px; font-size: 12px; font-weight: 600; }","inline-flex items-center px-3 py-1 rounded-full text-xs font-semibold","aria-label for status meaning, not color-only indicators","Status indicators, categories, counts"
12,Loading Spinner,Feedback,"spinner, loading, loader, progress, waiting, skeleton","Spinner, Dots, Pulse, Bar, Skeleton",".spinner { width: 24px; height: 24px; border: 3px solid var(--color-border); border-top-color: var(--color-primary); border-radius: 50%; animation: spin 0.8s linear infinite; }","w-6 h-6 border-3 border-gray-200 border-t-blue-500 rounded-full animate-spin","aria-busy=true, aria-label=Loading, role=status","Data loading, form submission, async operations"
13,Tooltip,Feedback,"tooltip, hint, help, info, hover, popup","Default, Arrow, Dark, Light, Rich",".tooltip { position: relative; } .tooltip-content { position: absolute; bottom: 100%; left: 50%; transform: translateX(-50%); padding: 8px 12px; background: #1F2937; color: white; border-radius: 8px; font-size: 14px; white-space: nowrap; }","relative group","role=tooltip, aria-describedby, not sole indicator","Help text, descriptions, hints"
14,Accordion/Collapse,Layout,"accordion, collapse, expand, toggle, reveal, details","Default, Bordered, Flush, Multiple",".accordion-item { border-bottom: 1px solid var(--color-border); } .accordion-trigger { width: 100%; padding: 16px; display: flex; justify-content: space-between; cursor: pointer; }","border-b border-gray-200","role=button, aria-expanded, aria-controls, keyboard Enter/Space","FAQs, settings, content organization"
15,Progress Bar,Feedback,"progress, bar, loading, indicator, completion, status","Default, Striped, Animated, Multi-step",".progress { width: 100%; height: 8px; background: var(--color-border); border-radius: 9999px; overflow: hidden; } .progress-fill { height: 100%; background: var(--color-primary); transition: width 300ms ease; }","w-full h-2 bg-gray-200 rounded-full overflow-hidden","role=progressbar, aria-valuenow, aria-valuemin, aria-valuemax, aria-label","File uploads, onboarding, multi-step forms"
16,Breadcrumb,Navigation,"breadcrumb, path, trail, navigation, hierarchy","Default, With Icons, Collapsed",".breadcrumb { display: flex; align-items: center; gap: 8px; } .breadcrumb-item { color: var(--color-text-secondary); } .breadcrumb-separator { color: var(--color-border); }","flex items-center gap-2 text-sm","nav aria-label=Breadcrumb, ol, li, aria-current=page","Websites with deep navigation, admin panels"
17,Alert/Callout,Feedback,"alert, callout, notice, banner, notification, warning","Info, Success, Warning, Error, Neutral",".alert { padding: 16px 20px; border-radius: 12px; display: flex; gap: 12px; align-items: start; }","p-5 rounded-xl flex gap-3 items-start","role=alert for errors, role=status for info, aria-live=polite","Important notices, warnings, system messages"
18,Switch/Toggle,Form Element,"switch, toggle, checkbox, on/off, boolean, enable","Default, Labeled, iOS-style, Material",".switch { width: 44px; height: 24px; border-radius: 12px; background: var(--color-border); cursor: pointer; transition: background 200ms; } .switch.active { background: var(--color-primary); } .switch-thumb { width: 20px; height: 20px; border-radius: 50%; background: white; transition: transform 200ms; }","relative w-11 h-6 rounded-full transition-colors duration-200","role=switch, aria-checked, aria-label, keyboard Space","Settings, preferences, feature toggles"
19,Pagination,Navigation,"pagination, page, navigate, numbers, next, previous","Default, Compact, Ellipsis, Icons",".pagination { display: flex; gap: 4px; } .page-btn { width: 36px; height: 36px; border-radius: 8px; display: flex; align-items: center; justify-content: center; cursor: pointer; }","flex gap-1","nav aria-label=Pagination, aria-current=page, keyboard navigation","Lists, tables, search results"
20,Skeleton Loader,Feedback,"skeleton, placeholder, loading, shimmer, pulse, content","Text, Avatar, Card, Image, Table",".skeleton { background: linear-gradient(90deg, var(--color-border) 25%, var(--color-border-light) 50%, var(--color-border) 75%); background-size: 200% 100%; animation: shimmer 1.5s infinite; border-radius: 8px; }","bg-gray-200 rounded-lg animate-pulse","aria-busy=true, aria-label=Loading content, role=status","Content loading states, progressive loading"
21,Drawer/Sidebar,Navigation,"drawer, sidebar, panel, slide, menu, nav, mobile","Left, Right, Full-height, Overlay, Persistent",".drawer { position: fixed; top: 0; left: 0; height: 100vh; width: 320px; background: white; z-index: 50; transform: translateX(-100%); transition: transform 300ms ease; } .drawer.open { transform: translateX(0); }","fixed inset-y-0 left-0 w-80 bg-white z-50 transform -translate-x-full transition-transform duration-300","role=dialog, aria-modal=true, focus trap, escape to close","Mobile navigation, settings panels, filters"
22,Carousel/Slider,Display,"carousel, slider, swiper, gallery, images, slides, navigation","Default, Autoplay, Thumbnail, Fullscreen",".carousel { position: relative; overflow: hidden; } .carousel-track { display: flex; transition: transform 300ms ease; } .carousel-slide { min-width: 100%; }","relative overflow-hidden [&>div]:flex [&>div]:transition-transform [&>div]:duration-300","aria-roledescription=carousel, aria-label, keyboard navigation","Image galleries, testimonials, product showcases"
23,Chip/Tag,Display,"chip, tag, label, category, filter, removable","Default, Outlined, With Icon, Removable, Selectable",".chip { display: inline-flex; align-items: center; gap: 4px; padding: 4px 12px; border-radius: 9999px; font-size: 14px; }","inline-flex items-center gap-1 px-3 py-1 rounded-full text-sm","aria-label, role=option if selectable, keyboard navigation","Categories, filters, tags, selections"
24,Rating/Stars,Display,"rating, stars, review, score, feedback, quality","Default, Interactive, Read-only, Half-star",".rating { display: flex; gap: 2px; } .star { color: var(--color-border); transition: color 200ms; } .star.active { color: #FBBF24; }","flex gap-0.5","aria-label='5 stars', role=radio for interactive, aria-checked","Reviews, feedback, quality indicators"
25,DatePicker,Form Element,"date, picker, calendar, schedule, time, appointment","Default, Range, Time-only, Inline, Modal",".datepicker { background: white; border-radius: 12px; box-shadow: var(--shadow-lg); padding: 16px; } .datepicker-day { width: 36px; height: 36px; border-radius: 8px; display: flex; align-items: center; justify-content: center; cursor: pointer; transition: background 200ms; }","bg-white rounded-xl shadow-lg p-4","role=grid, aria-label, keyboard navigation, aria-selected","Forms, scheduling, booking systems"
26,Timeline,Display,"timeline, history, steps, progress, journey, sequence","Default, Vertical, Horizontal, Interactive",".timeline { position: relative; padding-left: 24px; } .timeline::before { content: ''; position: absolute; left: 8px; top: 0; bottom: 0; width: 2px; background: var(--color-border); } .timeline-item { position: relative; padding-bottom: 24px; } .timeline-dot { position: absolute; left: -20px; top: 4px; width: 12px; height: 12px; border-radius: 50%; background: var(--color-primary); }","relative pl-6 [&>div]:relative [&>div]:pb-6 [&>div>div:first-child]:absolute [&>div>div:first-child]:-left-12 [&>div>div:first-child]:top-1 [&>div>div:first-child]:w-3 [&>div>div:first-child]:h-3 [&>div>div:first-child]:rounded-full [&>div>div:first-child]:bg-blue-500","role=list, role=listitem, aria-label for steps","User journeys, onboarding, history, steps"
27,Code Block,Data Display,"code, syntax, highlight, monospace, pre, snippet","Default, Line Numbers, Copy Button, Language Tabs",".code-block { background: #1F2937; color: #F8FAFC; border-radius: 12px; padding: 16px; font-family: 'JetBrains Mono', monospace; font-size: 14px; overflow-x: auto; } .code-line-numbers { color: #6B7280; border-right: 1px solid #374151; padding-right: 16px; margin-right: 16px; }","bg-gray-900 text-gray-50 rounded-xl p-4 font-mono text-sm overflow-x-auto","pre element, aria-label, role=code","Documentation, code examples, technical content"
28,Color Picker,Form Element,"color, picker, swatch, palette, choose, select","Default, Grid, Spectrum, Wheel, Swatches",".color-picker { display: flex; flex-wrap: wrap; gap: 8px; } .color-swatch { width: 32px; height: 32px; border-radius: 8px; cursor: pointer; border: 2px solid transparent; transition: border-color 200ms; } .color-swatch.active { border-color: var(--color-primary); }","flex flex-wrap gap-2","role=radio, aria-label, aria-checked, keyboard navigation","Design tools, customization, theming"
29,File Upload,Form Element,"file, upload, dropzone, drag, drop, browse","Default, Drag & Drop, Preview, Multi-file",".file-upload { border: 2px dashed var(--color-border); border-radius: 12px; padding: 32px; text-align: center; cursor: pointer; transition: border-color 200ms, background 200ms; } .file-upload:hover { border-color: var(--color-primary); background: var(--color-primary)05; }","border-2 border-dashed border-gray-300 rounded-xl p-8 text-center cursor-pointer hover:border-blue-500 hover:bg-blue-50 transition-all duration-200","role=button, aria-label, keyboard Enter/Space, drag-and-drop events","Forms, document management, content uploads"
30,Notification Badge,Display,"notification, badge, count, alert, unread, dot","Default, Count, Dot, Max Count",".notification-badge { position: absolute; top: -4px; right: -4px; min-width: 18px; height: 18px; border-radius: 9px; background: #EF4444; color: white; font-size: 11px; font-weight: 600; display: flex; align-items: center; justify-content: center; padding: 0 4px; }","absolute -top-1 -right-1 min-w-[18px] h-[18px] rounded-[9px] bg-red-500 text-white text-[11px] font-semibold flex items-center justify-center px-1","aria-label='3 notifications', role=status","Navigation icons, action buttons, user avatars"
