No,Token Category,Token Name,Keywords,Usage,CSS Variable,Tailwind,Value Light,Value Dark
26,Spacing,2X Large,"2xl, huge, maximum, massive","48px - Maximum spacing, hero sections","--space-2xl","gap-12 p-12 m-12","48px","48px"
27,Border Radius,Small,"radius, rounded, corner, small","4px - Buttons, inputs, small elements","--radius-sm","rounded-sm","4px","4px"
28,Border Radius,Medium,"radius, rounded, corner, medium","8px - Cards, buttons, standard elements","--radius-md","rounded-lg","8px","8px"
29,Border Radius,Large,"radius, rounded, corner, large","12px - Cards, containers, larger elements","--radius-lg","rounded-xl","12px","12px"
30,Border Radius,Extra Large,"radius, rounded, corner, xl, pill","16px - Modals, large containers","--radius-xl","rounded-2xl","16px","16px"
31,Border Radius,Full,"radius, rounded, circle, pill, full","9999px - Pills, circles, avatars","--radius-full","rounded-full","9999px","9999px"
32,Shadow,Small,"shadow, elevation, lift, subtle","0 1px 2px - Subtle lift for small elements","--shadow-sm","shadow-sm","0 1px 2px rgba(0,0,0,0.05)","0 1px 2px rgba(0,0,0,0.3)"
33,Shadow,Medium,"shadow, elevation, card, button","0 4px 6px - Standard card shadow","--shadow-md","shadow-md","0 4px 6px rgba(0,0,0,0.1)","0 4px 6px rgba(0,0,0,0.4)"
34,Shadow,Large,"shadow, elevation, modal, dropdown","0 10px 15px - Elevated elements","--shadow-lg","shadow-lg","0 10px 15px rgba(0,0,0,0.1)","0 10px 15px rgba(0,0,0,0.4)"
35,Shadow,Extra Large,"shadow, elevation, hero, featured","0 20px 25px - Featured elements","--shadow-xl","shadow-xl","0 20px 25px rgba(0,0,0,0.15)","0 20px 25px rgba(0,0,0,0.5)"
36,Shadow,Glow,"shadow, glow, neon, cyberpunk","0 0 20px - Glow effect for neon/cyberpunk","--shadow-glow","shadow-[0_0_20px_var(--glow-color)]","0 0 20px rgba(0,0,0,0.1)","0 0 20px rgba(0,0,0,0.3)"
37,Typography,Heading Font,"heading, h1, h2, h3, title, display","Font family for headings","--font-heading","font-heading","'Inter', sans-serif","'Inter', sans-serif"
38,Typography,Body Font,"body, text, content, paragraph","Font family for body text","--font-body","font-sans","'Inter', sans-serif","'Inter', sans-serif"
39,Typography,Mono Font,"mono, code, terminal, pre, technical","Font family for code and technical content","--font-mono","font-mono","'JetBrains Mono', monospace","'JetBrains Mono', monospace"
40,Typography,Display Font,"display, hero, massive, headline","Font family for display/headline text","--font-display","font-display","'Bebas Neue', 'Oswald', sans-serif","'Bebas Neue', 'Oswald', sans-serif"
41,Typography,Script Font,"script, cursive, handwriting, elegant","Font family for script/handwriting text","--font-script","font-script","'Dancing Script', cursive","'Dancing Script', cursive"
42,Typography,Pixel Font,"pixel, retro, 8-bit, gaming, monospace","Font family for pixel/retro text","--font-pixel","font-pixel","'Press Start 2P', monospace","'Press Start 2P', monospace"
43,Typography,Heading Small,"h6, small, caption, label","14px - Small headings, captions","--text-sm","text-sm","14px","14px"
44,Typography,Heading Medium,"h5, subtitle, medium","16px - Medium headings, subtitles","--text-base","text-base","16px","16px"
45,Typography,Heading Large,"h4, section, large","18px - Section headings","--text-lg","text-lg","18px","18px"
46,Typography,Heading XL,"h3, subsection, xl","20px - Subsection headings","--text-xl","text-xl","20px","20px"
47,Typography,Heading 2XL,"h2, section title, 2xl","24px - Section titles","--text-2xl","text-2xl","24px","24px"
48,Typography,Heading 3XL,"h1, page title, display, hero","30px - Page titles, hero headings","--text-3xl","text-3xl","30px","30px"
49,Typography,Heading 4XL,"display, hero, massive","36px - Hero sections, massive display","--text-4xl","text-4xl","36px","36px"
50,Typography,Heading 5XL,"display, hero, massive, huge","48px - Ultra large hero sections","--text-5xl","text-5xl","48px","48px"
51,Typography,Font Weight Normal,"body, regular, normal, 400","Normal font weight for body text","--font-weight-normal","font-normal","400","400"
52,Typography,Font Weight Medium,"medium, 500","Medium font weight for emphasis","--font-weight-medium","font-medium","500","500"
53,Typography,Font Weight SemiBold,"semibold, 600, strong","Semi-bold for headings and strong text","--font-weight-semibold","font-semibold","600","600"
54,Typography,Font Weight Bold,"bold, 700, heading","Bold for headings and important text","--font-weight-bold","font-bold","700","700"
55,Typography,Font Weight Black,"black, 900, ultra-bold","Black for ultra-bold display text","--font-weight-black","font-black","900","900"
56,Typography,Line Height Tight,"tight, compact, heading","1.2 - Tight line height for headings","--line-height-tight","leading-tight","1.2","1.2"
57,Typography,Line Height Normal,"normal, body, standard","1.5 - Normal line height for body text","--line-height-normal","leading-normal","1.5","1.5"
58,Typography,Line Height Relaxed,"relaxed, comfortable, reading","1.625 - Relaxed line height for reading","--line-height-relaxed","leading-relaxed","1.625","1.625"
59,Transition,Duration Fast,"transition, fast, hover, quick, responsive","100ms - Fast transitions for hover states","--duration-fast","duration-100","100ms","100ms"
60,Transition,Duration Normal,"transition, normal, standard, default","200ms - Standard transitions","--duration-normal","duration-200","200ms","200ms"
61,Transition,Duration Slow,"transition, slow, smooth, animated","300ms - Smooth transitions for animations","--duration-slow","duration-300","300ms","300ms"
62,Transition,Duration Very Slow,"transition, very-slow, page, entrance","500ms - Page transitions, entrance animations","--duration-very-slow","duration-500","500ms","500ms"
63,Transition,Duration Ultra Slow,"transition, ultra-slow, background, gradient","800ms - Background gradients, complex animations","--duration-ultra-slow","duration-[800ms]","800ms","800ms"
64,Transition,Ease Default,"easing, default, standard","ease - Standard easing","--ease-default","ease","cubic-bezier(0.4, 0, 0.2, 1)","cubic-bezier(0.4, 0, 0.2, 1)"
65,Transition,Ease In,"easing, in, start","ease-in - Starting animations","--ease-in","ease-in","cubic-bezier(0.4, 0, 1, 1)","cubic-bezier(0.4, 0, 1, 1)"
66,Transition,Ease Out,"easing, out, end","ease-out - Ending animations","--ease-out","ease-out","cubic-bezier(0, 0, 0.2, 1)","cubic-bezier(0, 0, 0.2, 1)"
67,Transition,Ease In Out,"easing, in-out, smooth, bidirectional","ease-in-out - Bidirectional animations","--ease-in-out","ease-in-out","cubic-bezier(0.4, 0, 0.2, 1)","cubic-bezier(0.4, 0, 0.2, 1)"
68,Transition,Ease Bounce,"easing, bounce, playful, spring","cubic-bezier(0.34, 1.56, 0.64, 1) - Bouncy effects","--ease-bounce","ease-[cubic-bezier(0.34,1.56,0.64,1)]","cubic-bezier(0.34, 1.56, 0.64, 1)","cubic-bezier(0.34, 1.56, 0.64, 1)"
69,Transition,Ease Elastic,"easing, elastic, rubber, stretch","cubic-bezier(0.68, -0.55, 0.27, 1.55) - Elastic effects","--ease-elastic","ease-[cubic-bezier(0.68,-0.55,0.27,1.55)]","cubic-bezier(0.68, -0.55, 0.27, 1.55)","cubic-bezier(0.68, -0.55, 0.27, 1.55)"
70,Transition,Ease Snap,"easing, snap, instant, sharp","cubic-bezier(0.2, 0, 0, 1) - Sharp snap animations","--ease-snap","ease-[cubic-bezier(0.2,0,0,1)]","cubic-bezier(0.2, 0, 0, 1)","cubic-bezier(0.2, 0, 0, 1)"
