No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
38,Permanent Marker + Inter,Hand-Sans,"Permanent Marker","Inter","Handwritten, bold, creative, artistic","Portfolios, creative projects, artistic, personal","https://fonts.google.com/share?selection.family=Permanent+Marker|Inter:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Permanent+Marker&family=Inter:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Permanent Marker', 'cursive'], sans: ['Inter', 'sans-serif'] }","Bold handwritten for creative impact. Use sparingly."
39,Patrick Hand + Nunito,Hand-Sans,"Patrick Hand","Nunito","Handwritten, friendly, casual, personal","Personal blogs, education, casual, friendly","https://fonts.google.com/share?selection.family=Patrick+Hand|Nunito:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Patrick+Hand&family=Nunito:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Patrick Hand', 'cursive'], sans: ['Nunito', 'sans-serif'] }","Friendly handwritten. Great for casual and education."
40,Indie Flower + Inter,Hand-Sans,"Indie Flower","Inter","Playful, handwritten, creative, fun","Creative projects, education, children's, fun","https://fonts.google.com/share?selection.family=Indie+Flower|Inter:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Indie+Flower&family=Inter:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Indie Flower', 'cursive'], sans: ['Inter', 'sans-serif'] }","Playful handwritten. Fun and creative."
41,Orbitron + Rajdhani,Sans-Sans,"Orbitron","Rajdhani","Futuristic, sci-fi, tech, gaming, cyberpunk","Gaming, sci-fi, tech brands, crypto, futuristic","https://fonts.google.com/share?selection.family=Orbitron:wght@400;500;600;700|Rajdhani:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Orbitron:wght@400;500;600;700&family=Rajdhani:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Orbitron', 'sans-serif'], sans: ['Rajdhani', 'sans-serif'] }","Futuristic sci-fi fonts. Perfect for gaming and crypto."
42,Press Start 2P + VT323,Mono-Mono,"Press Start 2P","VT323","Pixel, retro, 8-bit, gaming, nostalgic","Indie games, retro apps, pixel art, nostalgic","https://fonts.google.com/share?selection.family=Press+Start+2P|VT323","@import url('https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&display=swap');","fontFamily: { heading: ['Press Start 2P', 'monospace'], mono: ['VT323', 'monospace'] }","Pixel fonts for retro gaming. 8-bit nostalgia."
43,Monoton + Raleway,Display-Sans,"Monoton","Raleway","Retro, neon, 80s, synthwave, cyberpunk","Music, retro brands, 80s aesthetic, neon","https://fonts.google.com/share?selection.family=Monoton|Raleway:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Monoton&family=Raleway:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Monoton', 'cursive'], sans: ['Raleway', 'sans-serif'] }","Retro neon display. Maximum 80s vibe."
44,Faster One + Montserrat,Display-Sans,"Faster One","Montserrat","Speed, racing, sports, dynamic, fast","Sports, racing, automotive, dynamic brands","https://fonts.google.com/share?selection.family=Faster+One|Montserrat:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Faster+One&family=Montserrat:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Faster One', 'cursive'], sans: ['Montserrat', 'sans-serif'] }","Speed-themed display. Great for sports and automotive."
45,Alfa Slab One + Roboto Slab,Serif-Serif,"Alfa Slab One","Roboto Slab","Bold, slab serif, impactful, modern","Headlines, bold statements, marketing, editorial","https://fonts.google.com/share?selection.family=Alfa+Slab+One|Roboto+Slab:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Alfa+Slab+One&family=Roboto+Slab:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Alfa Slab One', 'serif'], serif: ['Roboto Slab', 'serif'] }","Bold slab serif for impact. Modern editorial feel."
46,Creepster + Roboto,Display-Sans,"Creepster","Roboto","Spooky, halloween, horror, fun, thematic","Halloween, horror, themed events, fun projects","https://fonts.google.com/share?selection.family=Creepster|Roboto:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Creepster&family=Roboto:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Creepster', 'cursive'], sans: ['Roboto', 'sans-serif'] }","Spooky themed display. Fun for seasonal projects."
47,Lobster + Open Sans,Display-Sans,"Lobster","Open Sans","Retro, script, playful, vintage","Restaurants, food, retro brands, casual","https://fonts.google.com/share?selection.family=Lobster|Open+Sans:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Lobster&family=Open+Sans:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Lobster', 'cursive'], sans: ['Open Sans', 'sans-serif'] }","Retro script for casual and food brands."
48,Dancing Script + Lato,Script-Sans,"Dancing Script","Lato","Elegant script, cursive, sophisticated, wedding","Weddings, luxury, elegant brands, invitations","https://fonts.google.com/share?selection.family=Dancing+Script:wght@400;500;600;700|Lato:wght@400;300;700","@import url('https://fonts.googleapis.com/css2?family=Dancing+Script:wght@400;500;600;700&family=Lato:wght@400;300;700&display=swap');","fontFamily: { heading: ['Dancing Script', 'cursive'], sans: ['Lato', 'sans-serif'] }","Elegant script for luxury and events."
49,Great Vibes + Playfair Display,Script-Serif,"Great Vibes","Playfair Display","Elegant script, luxury, sophisticated, premium","Luxury brands, weddings, premium services, high-end","https://fonts.google.com/share?selection.family=Great+Vibes|Playfair+Display:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Great+Vibes&family=Playfair+Display:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Great Vibes', 'cursive'], serif: ['Playfair Display', 'serif'] }","Ultra elegant script. Maximum luxury feel."
50,Pacifico + Quicksand,Script-Sans,"Pacifico","Quicksand","Retro, beach, casual, fun, laid-back","Beach brands, casual, food trucks, laid-back","https://fonts.google.com/share?selection.family=Pacifico|Quicksand:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Pacifico&family=Quicksand:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Pacifico', 'cursive'], sans: ['Quicksand', 'sans-serif'] }","Retro beach script. Fun and laid-back vibe."
